B02,B03,B04,B05,B06,B07.,B08,B8A,B11,B12,SCL,NDVI,x,y,target
201,381,192,639,2076,2472,2600,2734,1068,458,4,0,522180.614,6821250.224,"168,711174"
219,381,193,480,1732,2107,2492,2423,1154,531,4,0,530147.951,6807147.385,"553,7469529"
229,306,183,622,2375,2831,2532,3158,1460,643,4,0,529935.214,6806942.692,"127,0739954"
243,379,218,641,2345,2807,2774,3058,1553,706,4,0,530122.621,6806758.068,"143,4300543"
189,292,151,495,1813,2188,2456,2497,1036,444,4,0,530336.471,6806939.874,"497,6802705"
211,349,160,565,2121,2776,2626,2818,1227,533,4,0,530370.955,6807063.392,"306,9120075"
244,423,236,622,2240,2654,3130,2885,1401,648,4,0,529941.365,6807131.386,"243,4929622"
220,383,188,523,1953,2446,2846,2770,1223,535,4,0,529941.374,6806730.632,"433,5141936"
233,342,189,630,2528,3196,3162,3390,1403,620,4,0,530342.986,6806749.52,"198,6317528"
210,421,177,694,2693,3327,3740,3582,1388,595,4,0,530403.27,6817152.333,"243,2570575"
186,383,174,662,2675,3350,3498,3616,1481,627,4,0,530189.749,6816941.861,"98,05771802"
199,407,165,650,2517,3144,3530,3421,1290,542,4,0,530399.981,6816743.548,"277,3452858"
186,348,169,586,2425,3126,3604,3413,1296,534,4,0,530591.543,6816943.782,"349,6500747"
207,379,175,666,2746,3434,3616,3729,1473,612,4,0,530588.351,6817150.703,"283,9112998"
165,316,151,531,1951,2394,2442,2616,865,378,4,0,530193.574,6817157.92,"221,9076826"
201,358,172,499,1792,2152,2608,2334,926,404,4,0,530193.535,6816752.376,"463,1595502"
205,361,173,678,2648,3264,3326,3649,1508,633,4,0,530596.055,6816749.679,"311,0010223"
199,298,169,481,1359,1687,1738,1862,862,401,4,0,519663.959,6820725.112,"711,960368"
221,381,191,498,1597,2078,2564,2250,981,472,4,0,519665.964,6820320.726,"1032,358261"
191,298,166,516,1723,2084,2004,2275,907,390,4,0,519867.281,6820540.556,"604,5450971"
222,360,180,618,2384,2725,3320,2951,1249,555,4,0,519465.074,6820728.17,"267,201384"
227,346,167,503,1963,2500,2508,2671,1147,515,4,0,519466.486,6820322.325,"317,2918141"
237,347,205,539,1746,2084,2208,2245,1064,561,4,0,519866.309,6820321.987,"125,4226626"
222,309,181,490,1638,2032,2344,2182,969,448,4,0,523214.241,6809197.304,"451,4429504"
254,379,208,555,2031,2557,2766,2683,1230,542,4,0,523205.923,6808789.26,"843,9097271"
246,356,207,555,1881,2269,2362,2504,1085,516,4,0,523404.213,6809011.209,"434,0253204"
215,315,164,487,1661,1868,1940,2227,957,444,4,0,523411.032,6809202.063,"578,792168"
219,330,212,549,1755,2187,2244,2318,1118,533,4,0,523408.106,6808799.968,"882,8733192"
